hex,name,Red,Green,Blue,Family,Link,Source
#bfafb2,Black Shadows,191,175,178,,https://encycolorpedia.com/bfafb2,encycolorpedia
#ffebcd,Blanched almond,255,235,205,,https://encycolorpedia.com/ffebcd,encycolorpedia
#a57164,Blast-off bronze,165,113,100,,https://encycolorpedia.com/a57164,encycolorpedia
#318ce7,Bleu de France,49,140,231,,https://encycolorpedia.com/318ce7,encycolorpedia
#ace5ee,Blizzard blue,172,229,238,,https://encycolorpedia.com/ace5ee,encycolorpedia
#faf0be,Blond,250,240,190,,https://encycolorpedia.com/faf0be,encycolorpedia
#8a0303,Blood,138,3,3,,https://encycolorpedia.com/8a0303,encycolorpedia
#a41313,Blood (Animal),164,19,19,,https://encycolorpedia.com/a41313,encycolorpedia
#630f0f,Blood (organ),99,15,15,,https://encycolorpedia.com/630f0f,encycolorpedia
#d1001c,Blood orange,209,0,28,,https://encycolorpedia.com/d1001c,encycolorpedia
#660000,Blood red,102,0,0,,https://encycolorpedia.com/660000,encycolorpedia
#f35336,Blood red (Benihi),243,83,54,,https://encycolorpedia.com/f35336,encycolorpedia
#0000ff,Blue,0,0,255,,https://encycolorpedia.com/0000ff,encycolorpedia
#1f75fe,Blue (Crayola),31,117,254,,https://encycolorpedia.com/1f75fe,encycolorpedia
#0093af,Blue (Munsell),0,147,175,,https://encycolorpedia.com/0093af,encycolorpedia
#0087bd,Blue (NCS),0,135,189,,https://encycolorpedia.com/0087bd,encycolorpedia
#0018a8,Blue (Pantone),0,24,168,,https://encycolorpedia.com/0018a8,encycolorpedia
#333399,Blue (pigment),51,51,153,,https://encycolorpedia.com/333399,encycolorpedia
#0247fe,Blue (RYB),2,71,254,,https://encycolorpedia.com/0247fe,encycolorpedia
#a2a2d0,Blue bell,162,162,208,,https://encycolorpedia.com/a2a2d0,encycolorpedia
#52593b,Blue Black Crayfish (Aoni),82,89,59,,https://encycolorpedia.com/52593b,encycolorpedia
#00b9fb,Blue bolt,0,185,251,,https://encycolorpedia.com/00b9fb,encycolorpedia
#0088dc,Blue cola,0,136,220,,https://encycolorpedia.com/0088dc,encycolorpedia
#5dadec,Blue jeans,93,173,236,,https://encycolorpedia.com/5dadec,encycolorpedia
#4cb7a5,Blue lagoon,76,183,165,,https://encycolorpedia.com/4cb7a5,encycolorpedia
#0cbfe9,Blue raspberry,12,191,233,,https://encycolorpedia.com/0cbfe9,encycolorpedia
#126180,Blue sapphire,18,97,128,,https://encycolorpedia.com/126180,encycolorpedia
#2b2028,Blue violet (Shikon),43,32,40,,https://encycolorpedia.com/2b2028,encycolorpedia
#5072a7,Blue yonder,80,114,167,,https://encycolorpedia.com/5072a7,encycolorpedia
#6699cc,Blue-gray,102,153,204,,https://encycolorpedia.com/6699cc,encycolorpedia
#0d98ba,Blue-green,13,152,186,,https://encycolorpedia.com/0d98ba,encycolorpedia
#6.4e+41,Blue-green (color wheel),#NUM!,78,#NUM!,,https://encycolorpedia.com/.4e+41,encycolorpedia
#3a6960,Blue-green (Seiheki),58,105,96,,https://encycolorpedia.com/3a6960,encycolorpedia
#553592,Blue-magenta violet,85,53,146,,https://encycolorpedia.com/553592,encycolorpedia
#8a2be2,Blue-violet,138,43,226,,https://encycolorpedia.com/8a2be2,encycolorpedia
#4d1a7f,Blue-violet (color wheel),77,26,127,,https://encycolorpedia.com/4d1a7f,encycolorpedia
#7366bd,Blue-violet (Crayola),115,102,189,,https://encycolorpedia.com/7366bd,encycolorpedia
#4f86f7,Blueberry,79,134,247,,https://encycolorpedia.com/4f86f7,encycolorpedia
#1c1cf0,Bluebonnet,28,28,240,,https://encycolorpedia.com/1c1cf0,encycolorpedia
#de5d83,Blush,222,93,131,,https://encycolorpedia.com/de5d83,encycolorpedia
#542d24,Boiled red bean brown (Momoshiocha),84,45,36,,https://encycolorpedia.com/542d24,encycolorpedia
#79443b,Bole,121,68,59,,https://encycolorpedia.com/79443b,encycolorpedia
#0095b6,Bondi blue,0,149,182,,https://encycolorpedia.com/0095b6,encycolorpedia
#e3dac9,Bone,227,218,201,,https://encycolorpedia.com/e3dac9,encycolorpedia
#dde26a,Bored accent green,221,226,106,,https://encycolorpedia.com/dde26a,encycolorpedia
#0e9ca5,Boy red,14,156,165,,https://encycolorpedia.com/0e9ca5,encycolorpedia
#873260,Boysenberry,135,50,96,,https://encycolorpedia.com/873260,encycolorpedia
#0070ff,Brandeis blue,0,112,255,,https://encycolorpedia.com/0070ff,encycolorpedia
#87413f,Brandy,135,65,63,,https://encycolorpedia.com/87413f,encycolorpedia
#b5a642,Brass,181,166,66,,https://encycolorpedia.com/b5a642,encycolorpedia
#ff631c,Brave orange,255,99,28,,https://encycolorpedia.com/ff631c,encycolorpedia
#e68364,Brewed mustard-brown (Tokigaracha),230,131,100,,https://encycolorpedia.com/e68364,encycolorpedia
#cb4154,Brick red,203,65,84,,https://encycolorpedia.com/cb4154,encycolorpedia
#ebecf0,Bright gray,235,236,240,,https://encycolorpedia.com/ebecf0,encycolorpedia
#66ff00,Bright green,102,255,0,,https://encycolorpedia.com/66ff00,encycolorpedia
#bf94e4,Bright lavender,191,148,228,,https://encycolorpedia.com/bf94e4,encycolorpedia
#d891ef,Bright lilac,216,145,239,,https://encycolorpedia.com/d891ef,encycolorpedia
#c32148,Bright maroon,195,33,72,,https://encycolorpedia.com/c32148,encycolorpedia
#1974d2,Bright navy blue,25,116,210,,https://encycolorpedia.com/1974d2,encycolorpedia
#ff007f,Bright pink,255,0,127,,https://encycolorpedia.com/ff007f,encycolorpedia
#08e8de,Bright turquoise,8,232,222,,https://encycolorpedia.com/08e8de,encycolorpedia
#d19fe8,Bright ube,209,159,232,,https://encycolorpedia.com/d19fe8,encycolorpedia
#ffaa1d,Bright yellow (Crayola),255,170,29,,https://encycolorpedia.com/ffaa1d,encycolorpedia
#3399ff,Brilliant azure,51,153,255,,https://encycolorpedia.com/3399ff,encycolorpedia
#f4bbff,Brilliant lavender,244,187,255,,https://encycolorpedia.com/f4bbff,encycolorpedia
#ff55a3,Brilliant rose,255,85,163,,https://encycolorpedia.com/ff55a3,encycolorpedia
#fb607f,Brink pink,251,96,127,,https://encycolorpedia.com/fb607f,encycolorpedia
#4225,British racing green,66,37,0,,https://encycolorpedia.com/#4225,encycolorpedia
#88540b,Bronze,136,84,11,,https://encycolorpedia.com/88540b,encycolorpedia
#cd7f32,Bronze,205,127,50,,https://encycolorpedia.com/cd7f32,encycolorpedia
#b08d57,Bronze (metallic),176,141,87,,https://encycolorpedia.com/b08d57,encycolorpedia
#737000,Bronze yellow,115,112,0,,https://encycolorpedia.com/737000,encycolorpedia
#993300,Brown,153,51,0,,https://encycolorpedia.com/993300,encycolorpedia
#af593e,Brown (Crayola),175,89,62,,https://encycolorpedia.com/af593e,encycolorpedia
#964b00,Brown (traditional),150,75,0,,https://encycolorpedia.com/964b00,encycolorpedia
#5f1933,Brown Chocolate,95,25,51,,https://encycolorpedia.com/5f1933,encycolorpedia
#4a2c2a,Brown Coffee,74,44,42,,https://encycolorpedia.com/4a2c2a,encycolorpedia
#4b3c39,Brown rat grey (Dobunezumi),75,60,57,,https://encycolorpedia.com/4b3c39,encycolorpedia
#af6e4d,Brown sugar,175,110,77,,https://encycolorpedia.com/af6e4d,encycolorpedia
#cc9966,Brown Yellow,204,153,102,,https://encycolorpedia.com/cc9966,encycolorpedia
#6b4423,Brown-nose,107,68,35,,https://encycolorpedia.com/6b4423,encycolorpedia
#1b4d3e,Brunswick green,27,77,62,,https://encycolorpedia.com/1b4d3e,encycolorpedia
#8c5939,Brushwood-dyed (Fushizome),140,89,57,,https://encycolorpedia.com/8c5939,encycolorpedia
#ffc1cc,Bubble gum,255,193,204,,https://encycolorpedia.com/ffc1cc,encycolorpedia
#e7feff,Bubbles,231,254,255,,https://encycolorpedia.com/e7feff,encycolorpedia
#7bb661,Bud green,123,182,97,,https://encycolorpedia.com/7bb661,encycolorpedia
#f0dc82,Buff,240,220,130,,https://encycolorpedia.com/f0dc82,encycolorpedia
#480607,Bulgarian rose,72,6,7,,https://encycolorpedia.com/480607,encycolorpedia
#800020,Burgundy,128,0,32,,https://encycolorpedia.com/800020,encycolorpedia
#deb887,Burlywood,222,184,135,,https://encycolorpedia.com/deb887,encycolorpedia
#a17a74,Burnished brown,161,122,116,,https://encycolorpedia.com/a17a74,encycolorpedia
#cc5500,Burnt orange,204,85,0,,https://encycolorpedia.com/cc5500,encycolorpedia
#e97451,Burnt sienna,233,116,81,,https://encycolorpedia.com/e97451,encycolorpedia
#8a3324,Burnt umber,138,51,36,,https://encycolorpedia.com/8a3324,encycolorpedia
#24a0ed,Button blue,36,160,237,,https://encycolorpedia.com/24a0ed,encycolorpedia
#bd33a4,Byzantine,189,51,164,,https://encycolorpedia.com/bd33a4,encycolorpedia
