HEX,Name,Red,Green,Blue,Family,Link,Source
#f6e6e0,0804-Y70R,246,230,224,,,NCS
#f6e0de,0804-Y90R,246,224,222,,,NCS
#d9eff4,0907-B20G,217,239,244,,,NCS
#d8f4ee,0907-B80G,216,244,238,,,NCS
#e1f4da,0907-G20Y,225,244,218,,,NCS
#f0f4d9,0907-G60Y,240,244,217,,,NCS
#f4f1da,0907-G90Y,244,241,218,,,NCS
#f4cbd0,0907-R10B,244,203,208,,,NCS
#f4d0db,0907-R30B,244,208,219,,,NCS
#f4d9ef,0907-R50B,244,217,239,,,NCS
#e0d6f4,0907-R70B,224,214,244,,,NCS
#d0dcf4,0907-R90B,208,220,244,,,NCS
#f4edd8,0907-Y10R,244,237,216,,,NCS
#f4e8d5,0907-Y30R,244,232,213,,,NCS
#f4e1d2,0907-Y50R,244,225,210,,,NCS
#f4d8cf,0907-Y70R,244,216,207,,,NCS
#f4cecc,0907-Y90R,244,206,204,,,NCS
#e5e5e5,1000-N,229,229,229,,,NCS
#e8eef1,1002-B,232,238,241,,,NCS
#e8eef1,1002-B,232,238,241,,,NCS
#eaf1f1,1002-B50G,234,241,241,,,NCS
#e7f1eb,1002-G,231,241,235,,,NCS
#e7f1eb,1002-G,231,241,235,,,NCS
#eff1e9,1002-G50Y,239,241,233,,,NCS
#f1e4e5,1002-R,241,228,229,,,NCS
#f1e4e5,1002-R,241,228,229,,,NCS
#f1e9f0,1002-R50B,241,233,240,,,NCS
#f1f0e9,1002-Y,241,240,233,,,NCS
#f1ebe7,1002-Y50R,241,235,231,,,NCS
#dce9f1,1005-B,220,233,241,,,NCS
#deeef1,1005-B20G,222,238,241,,,NCS
#dff1f1,1005-B50G,223,241,241,,,NCS
#ddf1ed,1005-B80G,221,241,237,,,NCS
#ddf1ed,1005-B80G,221,241,237,,,NCS
#d8f1e2,1005-G,216,241,226,,,NCS
#dff1e0,1005-G10Y,223,241,224,,,NCS
#e4f1de,1005-G20Y,228,241,222,,,NCS
#e4f1de,1005-G20Y,228,241,222,,,NCS
#e7f1dd,1005-G30Y,231,241,221,,,NCS
#eaf1dc,1005-G40Y,234,241,220,,,NCS
#edf1dd,1005-G50Y,237,241,221,,,NCS
#eef1de,1005-G60Y,238,241,222,,,NCS
#f0f1df,1005-G70Y,240,241,223,,,NCS
#f1f1df,1005-G80Y,241,241,223,,,NCS
#f1f1df,1005-G80Y,241,241,223,,,NCS
#f1efdf,1005-G90Y,241,239,223,,,NCS
#f1d2d4,1005-R,241,210,212,,,NCS
#f1d3d7,1005-R10B,241,211,215,,,NCS
#f1d5db,1005-R20B,241,213,219,,,NCS
#f1d5db,1005-R20B,241,213,219,,,NCS
#f1d7e0,1005-R30B,241,215,224,,,NCS
#f1dae6,1005-R40B,241,218,230,,,NCS
#f1deed,1005-R50B,241,222,237,,,NCS
#eadcf1,1005-R60B,234,220,241,,,NCS
#e3dcf1,1005-R70B,227,220,241,,,NCS
#d5daf1,1005-R80B,213,218,241,,,NCS
