"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"14681","Summer Shower","RE160-01","#BAD3DC","186","211","220","195.88","32.69","79.61","15.45","4.09","0.0","13.73","ColorNerd","kilz"
"14682","Miracle Bay","RD290-01","#799DAF","121","157","175","200.0","25.23","58.04","30.86","10.29","0.0","31.37","ColorNerd","kilz"
"14683","Swedish Blue","RD140-02","#658194","101","129","148","204.26","18.88","48.82","31.76","12.84","0.0","41.96","ColorNerd","kilz"
"14684","Prussian Blue","RD100-02","#444D5A","68","77","90","215.45","13.92","30.98","24.44","14.44","0.0","64.71","ColorNerd","kilz"
"14685","Soothing Ocean","RD160-01","#B7C7CF","183","199","207","200.0","20.0","76.47","11.59","3.86","0.0","18.82","ColorNerd","kilz"
"14686","Winding River","RD140-01","#869FAE","134","159","174","202.5","19.8","60.39","22.99","8.62","0.0","31.76","ColorNerd","kilz"
"14687","Blue Eyed Beauty","RD120-01","#4289A8","66","137","168","198.24","43.59","45.88","60.71","18.45","0.0","34.12","ColorNerd","kilz"
"14688","Tropic","RD150-02","#42829E","66","130","158","198.26","41.07","43.92","58.23","17.72","0.0","38.04","ColorNerd","kilz"
"14689","Misty Blue","RD200-01","#CDE4EE","205","228","238","198.18","49.25","86.86","13.87","4.2","0.0","6.67","ColorNerd","kilz"
"14690","Calm Spring","RD250-01","#77AFCB","119","175","203","200.0","44.68","63.14","41.38","13.79","0.0","20.39","ColorNerd","kilz"
"14691","Overboard","RD280-01","#41A4CD","65","164","205","197.57","58.33","52.94","68.29","20.0","0.0","19.61","ColorNerd","kilz"
"14692","Hero Blue","RD280-02","#1898C8","24","152","200","196.36","78.57","43.92","88.0","24.0","0.0","21.57","ColorNerd","kilz"
"14693","Pool Party","RD200-02","#ADD8EE","173","216","238","200.31","65.66","80.59","27.31","9.24","0.0","6.67","ColorNerd","kilz"
"14694","Azure Pool","RD240-01","#67B0D7","103","176","215","200.89","58.33","62.35","52.09","18.14","0.0","15.69","ColorNerd","kilz"
"14695","Serene Stream","RD240-02","#40A4CE","64","164","206","197.75","59.17","52.94","68.93","20.39","0.0","19.22","ColorNerd","kilz"
"14696","Aspiration","RH190","#217AB4","33","122","180","203.67","69.01","41.76","81.67","32.22","0.0","29.41","ColorNerd","kilz"
"14697","Casual Blue","RD230-01","#A6D7EB","166","215","235","197.39","63.3","78.63","29.36","8.51","0.0","7.84","ColorNerd","kilz"
"14698","Blue Bird Of Paradise","RD210-02","#A2D1E3","162","209","227","196.62","53.72","76.27","28.63","7.93","0.0","10.98","ColorNerd","kilz"
"14699","Bit Of Sapphire","RD230-02","#52B2D3","82","178","211","195.35","59.45","57.45","61.14","15.64","0.0","17.25","ColorNerd","kilz"
"14700","Blue Splash","RD250-02","#2A7FA1","42","127","161","197.14","58.62","39.8","73.91","21.12","0.0","36.86","ColorNerd","kilz"
"14701","Abstract Idea","RD270-01","#8EAAB6","142","170","182","198.0","21.51","63.53","21.98","6.59","0.0","28.63","ColorNerd","kilz"
"14702","Totally Scientific","RD270-02","#7D96A1","125","150","161","198.33","16.07","56.08","22.36","6.83","0.0","36.86","ColorNerd","kilz"
"14703","Storm","RD290-02","#44778A","68","119","138","196.29","33.98","40.39","50.72","13.77","0.0","45.88","ColorNerd","kilz"
"14704","Harborside","RD120-02","#36637D","54","99","125","201.97","39.66","35.1","56.8","20.8","0.0","50.98","ColorNerd","kilz"
"14705","Cool Vista","RD220-01","#AECED9","174","206","217","195.35","36.13","76.67","19.82","5.07","0.0","14.9","ColorNerd","kilz"
"14706","Baroque","RD220-02","#96BDCD","150","189","205","197.45","35.48","69.61","26.83","7.8","0.0","19.61","ColorNerd","kilz"
"14707","By The Sea","RD260-01","#7DAAC0","125","170","192","199.7","34.72","62.16","34.9","11.46","0.0","24.71","ColorNerd","kilz"
"14708","Vintage Sapphire","RD260-02","#569FBC","86","159","188","197.06","43.22","53.73","54.26","15.43","0.0","26.27","ColorNerd","kilz"
