"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"18417","Gray Stone","1009-4","#B7B9B5","183","185","181","90.0","2.78","71.76","1.08","0.0","2.16","27.45","ColorNerd","ppg"
"18418","Phoenix Fossil","1009-5","#8E908D","142","144","141","100.0","1.33","55.88","1.39","0.0","2.08","43.53","ColorNerd","ppg"
"18419","Armory","1009-6","#6A6B65","106","107","101","70.0","2.88","40.78","0.93","0.0","5.61","58.04","ColorNerd","ppg"
"18420","Licorice","1009-7","#4E4F48","78","79","72","68.57","4.64","29.61","1.27","0.0","8.86","69.02","ColorNerd","ppg"
"18421","Pegasus","1010-1","#E8E9E4","232","233","228","72.0","10.2","90.39","0.43","0.0","2.15","8.63","ColorNerd","ppg"
"18422","Fog","1010-2","#D6D7D2","214","215","210","72.0","5.88","83.33","0.47","0.0","2.33","15.69","ColorNerd","ppg"
"18423","Solstice","1010-3","#BABDB8","186","189","184","96.0","3.65","73.14","1.59","0.0","2.65","25.88","ColorNerd","ppg"
"18424","Stepping Stone","1010-4","#A4A7A4","164","167","164","120.0","1.68","64.9","1.8","0.0","1.8","34.51","ColorNerd","ppg"
"18425","Downpour","1010-5","#898A86","137","138","134","75.0","1.68","53.33","0.72","0.0","2.9","45.88","ColorNerd","ppg"
"18426","Up In Smoke","1010-6","#6E706D","110","112","109","100.0","1.36","43.33","1.79","0.0","2.68","56.08","ColorNerd","ppg"
"18427","Zombie","1010-7","#595A5C","89","90","92","220.0","1.66","35.49","3.26","2.17","0.0","63.92","ColorNerd","ppg"
"18428","Pacific Pearl","1011-1","#E8EAE6","232","234","230","90.0","8.7","90.98","0.85","0.0","1.71","8.24","ColorNerd","ppg"
"18429","Elemental","1011-2","#D0D3D3","208","211","211","180.0","3.3","82.16","1.42","0.0","0.0","17.25","ColorNerd","ppg"
"18430","Stargazer","1011-3","#AFB4B6","175","180","182","197.14","4.58","70.0","3.85","1.1","0.0","28.63","ColorNerd","ppg"
"18431","Ufo","1011-4","#989FA3","152","159","163","201.82","5.64","61.76","6.75","2.45","0.0","36.08","ColorNerd","ppg"
"18432","Improbable","1011-5","#6E7376","110","115","118","202.5","3.51","44.71","6.78","2.54","0.0","53.73","ColorNerd","ppg"
"18433","Glazed Granite","1011-6","#5B5E61","91","94","97","210.0","3.19","36.86","6.19","3.09","0.0","61.96","ColorNerd","ppg"
"18434","Onyx","1011-7","#464544","70","69","68","30.0","1.45","27.06","0.0","1.43","2.86","72.55","ColorNerd","ppg"
"18435","Icy Bay","1012-1","#E0E5E2","224","229","226","144.0","8.77","88.82","2.18","0.0","1.31","10.2","ColorNerd","ppg"
"18436","Inverness Gray","1012-2","#DCE3E2","220","227","226","171.43","11.11","87.65","3.08","0.0","0.44","10.98","ColorNerd","ppg"
"18437","Tinsel","1012-3","#D2D9DB","210","217","219","193.33","11.11","84.12","4.11","0.91","0.0","14.12","ColorNerd","ppg"
"18438","Gray Frost","1012-4","#B8BFC2","184","191","194","198.0","7.58","74.12","5.15","1.55","0.0","23.92","ColorNerd","ppg"
"18439","Steeple Gray","1012-5","#8E9598","142","149","152","198.0","4.63","57.65","6.58","1.97","0.0","40.39","ColorNerd","ppg"
"18440","Volcanic Ash","1012-6","#6F7678","111","118","120","193.33","3.9","45.29","7.5","1.67","0.0","52.94","ColorNerd","ppg"
"18441","Black Forest","1012-7","#434B4F","67","75","79","200.0","8.22","28.63","15.19","5.06","0.0","69.02","ColorNerd","ppg"
"18442","Radisson","1013-1","#E5E7E6","229","231","230","150.0","4.0","90.2","0.87","0.0","0.43","9.41","ColorNerd","ppg"
"18443","Spring Thaw","1013-2","#D9DCDD","217","220","221","195.0","5.56","85.88","1.81","0.45","0.0","13.33","ColorNerd","ppg"
"18444","Whirlwind","1013-3","#BEC0C2","190","192","194","210.0","3.17","75.29","2.06","1.03","0.0","23.92","ColorNerd","ppg"
"18445","Silver Charm","1013-4","#ADB0B4","173","176","180","214.29","4.46","69.22","3.89","2.22","0.0","29.41","ColorNerd","ppg"
"18446","Victorian Pewter","1013-5","#828388","130","131","136","230.0","2.46","52.16","4.41","3.68","0.0","46.67","ColorNerd","ppg"
"18447","Gray Flannel","1013-6","#585960","88","89","96","232.5","4.35","36.08","8.33","7.29","0.0","62.35","ColorNerd","ppg"
"18448","Napoleon","1013-7","#404149","64","65","73","233.33","6.57","26.86","12.33","10.96","0.0","71.37","ColorNerd","ppg"
"18449","Glacial Ice","1014-1","#EAE9E7","234","233","231","40.0","6.67","91.18","0.0","0.43","1.28","8.24","ColorNerd","ppg"
"18450","Gray Whisper","1014-2","#E6E4E4","230","228","228","0.0","3.85","89.8","0.0","0.87","0.87","9.8","ColorNerd","ppg"
"18451","Silver Screen","1014-3","#E0DDDD","224","221","221","0.0","4.62","87.25","0.0","1.34","1.34","12.16","ColorNerd","ppg"
"18452","Jack Rabbit","1014-4","#C0B2B1","192","178","177","4.0","10.64","72.35","0.0","7.29","7.81","24.71","ColorNerd","ppg"
"18453","Gray Violet","1014-5","#9B8E8E","155","142","142","0.0","6.1","58.24","0.0","8.39","8.39","39.22","ColorNerd","ppg"
"18454","Eagle Eye","1014-6","#736665","115","102","101","4.29","6.48","42.35","0.0","11.3","12.17","54.9","ColorNerd","ppg"
"18455","Black Walnut","1014-7","#554747","85","71","71","0.0","8.97","30.59","0.0","16.47","16.47","66.67","ColorNerd","ppg"
"18456","Vanilla Milkshake","1015-1","#F1ECE2","241","236","226","40.0","34.88","91.57","0.0","2.07","6.22","5.49","ColorNerd","ppg"
"18457","Stone Quarry","1015-2","#ECE4DC","236","228","220","30.0","29.63","89.41","0.0","3.39","6.78","7.45","ColorNerd","ppg"
"18458","Warmstone","1015-3","#E6D7CC","230","215","204","25.38","34.21","85.1","0.0","6.52","11.3","9.8","ColorNerd","ppg"
"18459","Subdued","1015-4","#CCB8B3","204","184","179","12.0","19.69","75.1","0.0","9.8","12.25","20.0","ColorNerd","ppg"
"18460","Heliotrope","1015-5","#A49491","164","148","145","9.47","9.45","60.59","0.0","9.76","11.59","35.69","ColorNerd","ppg"
"18461","Granite Boulder","1015-6","#816F6B","129","111","107","10.91","9.32","46.27","0.0","13.95","17.05","49.41","ColorNerd","ppg"
"18462","Mustang","1015-7","#5E4A47","94","74","71","7.83","13.94","32.35","0.0","21.28","24.47","63.14","ColorNerd","ppg"
"18463","Berry Frost","1016-1","#EBDED7","235","222","215","21.0","33.33","88.24","0.0","5.53","8.51","7.84","ColorNerd","ppg"
"18464","Blossom Pink","1016-2","#E6D5CE","230","213","206","17.5","32.43","85.49","0.0","7.39","10.43","9.8","ColorNerd","ppg"
"18465","Cheerful Heart","1016-3","#DCC7C0","220","199","192","15.0","28.57","80.78","0.0","9.55","12.73","13.73","ColorNerd","ppg"
"18466","Forever Fairytale","1016-4","#D2BBB2","210","187","178","16.87","26.23","76.08","0.0","10.95","15.24","17.65","ColorNerd","ppg"
"18467","Iris Mauve","1016-5","#B39B94","179","155","148","13.55","16.94","64.12","0.0","13.41","17.32","29.8","ColorNerd","ppg"
"18468","Woodchuck","1016-6","#8E746C","142","116","108","14.12","13.6","49.02","0.0","18.31","23.94","44.31","ColorNerd","ppg"
"18469","Spiced Wine","1016-7","#664942","102","73","66","11.67","21.43","32.94","0.0","28.43","35.29","60.0","ColorNerd","ppg"
"18470","Touchable","1017-1","#ECDFD8","236","223","216","21.0","34.48","88.63","0.0","5.51","8.47","7.45","ColorNerd","ppg"
"18471","First Kiss","1017-2","#D9CAC3","217","202","195","19.09","22.45","80.78","0.0","6.91","10.14","14.9","ColorNerd","ppg"
"18472","Fond Memory","1017-3","#C8BCB7","200","188","183","17.65","13.39","75.1","0.0","6.0","8.5","21.57","ColorNerd","ppg"
"18473","Riveter Rose","1017-4","#B7A9A2","183","169","162","20.0","12.73","67.65","0.0","7.65","11.48","28.24","ColorNerd","ppg"
"18474","Cinnamon Toast","1017-5","#8D7D77","141","125","119","16.36","8.8","50.98","0.0","11.35","15.6","44.71","ColorNerd","ppg"
"18475","Bold Brandy","1017-6","#796660","121","102","96","14.4","11.52","42.55","0.0","15.7","20.66","52.55","ColorNerd","ppg"
"18476","Chocolate Pretzel","1017-7","#60504B","96","80","75","14.29","12.28","33.53","0.0","16.67","21.87","62.35","ColorNerd","ppg"
"18477","Steel Me","1018-1","#DDD5CE","221","213","206","28.0","18.07","83.73","0.0","3.62","6.79","13.33","ColorNerd","ppg"
"18478","My Alibi","1018-2","#D4CBC4","212","203","196","26.25","15.69","80.0","0.0","4.25","7.55","16.86","ColorNerd","ppg"
"18479","City Street","1018-3","#BAB2AB","186","178","171","28.0","9.8","70.0","0.0","4.3","8.06","27.06","ColorNerd","ppg"
"18480","Winter's Nap","1018-4","#A99F97","169","159","151","26.67","9.47","62.75","0.0","5.92","10.65","33.73","ColorNerd","ppg"
"18481","Talavera","1018-5","#A0928B","160","146","139","20.0","9.95","58.63","0.0","8.75","13.13","37.25","ColorNerd","ppg"
"18482","Flipper","1018-6","#7F726B","127","114","107","21.0","8.55","45.88","0.0","10.24","15.75","50.2","ColorNerd","ppg"
"18483","Sarsaparilla","1018-7","#5B4C44","91","76","68","20.87","14.47","31.18","0.0","16.48","25.27","64.31","ColorNerd","ppg"
"18484","Toasted Marshmallow","1019-1","#EAE1D6","234","225","214","33.0","32.26","87.84","0.0","3.85","8.55","8.24","ColorNerd","ppg"
"18485","In The Buff","1019-2","#D6CBBF","214","203","191","31.3","21.9","79.41","0.0","5.14","10.75","16.08","ColorNerd","ppg"
"18486","Legendary","1019-3","#C6BAAF","198","186","175","28.7","16.79","73.14","0.0","6.06","11.62","22.35","ColorNerd","ppg"
"18487","Simmering Smoke","1019-4","#A99F96","169","159","150","28.42","9.95","62.55","0.0","5.92","11.24","33.73","ColorNerd","ppg"
"18488","Wild Wilderness","1019-5","#91857C","145","133","124","25.71","8.71","52.75","0.0","8.28","14.48","43.14","ColorNerd","ppg"
"18489","Tattle Tail","1019-6","#80736A","128","115","106","24.55","9.4","45.88","0.0","10.16","17.19","49.8","ColorNerd","ppg"
"18490","Intrigue","1019-7","#635951","99","89","81","26.67","10.0","35.29","0.0","10.1","18.18","61.18","ColorNerd","ppg"
"18491","Atrium White","1020-1","#F1EEE4","241","238","228","46.15","31.71","91.96","0.0","1.24","5.39","5.49","ColorNerd","ppg"
"18492","Maybe Mushroom","1020-2","#E2D8CB","226","216","203","33.91","28.4","84.12","0.0","4.42","10.18","11.37","ColorNerd","ppg"
"18493","Whippet","1020-3","#CEC1B5","206","193","181","28.8","20.33","75.88","0.0","6.31","12.14","19.22","ColorNerd","ppg"
"18494","El Capitan","1020-4","#B7A696","183","166","150","29.09","18.64","65.29","0.0","9.29","18.03","28.24","ColorNerd","ppg"
"18495","Earl Gray","1020-5","#A6978A","166","151","138","27.86","13.59","59.61","0.0","9.04","16.87","34.9","ColorNerd","ppg"
"18496","Wicker Basket","1020-6","#847567","132","117","103","28.97","12.34","46.08","0.0","11.36","21.97","48.24","ColorNerd","ppg"
"18497","Monkey Madness","1020-7","#63584C","99","88","76","31.3","13.14","34.31","0.0","11.11","23.23","61.18","ColorNerd","ppg"
"18498","Mountain Gray","1021-1","#E8E3DB","232","227","219","36.92","22.03","88.43","0.0","2.16","5.6","9.02","ColorNerd","ppg"
"18499","Synchronicity","1021-2","#CFC5B6","207","197","182","36.0","20.66","76.27","0.0","4.83","12.08","18.82","ColorNerd","ppg"
"18500","Discover","1021-3","#BDB0A0","189","176","160","33.1","18.01","68.43","0.0","6.88","15.34","25.88","ColorNerd","ppg"
"18501","Diversion","1021-4","#A99A89","169","154","137","31.87","15.69","60.0","0.0","8.88","18.93","33.73","ColorNerd","ppg"
"18502","Thunderbird","1021-5","#8C7B6C","140","123","108","28.12","12.9","48.63","0.0","12.14","22.86","45.1","ColorNerd","ppg"
"18503","Curlew","1021-6","#766859","118","104","89","31.03","14.01","40.59","0.0","11.86","24.58","53.73","ColorNerd","ppg"
"18504","Cabin Fever","1021-7","#5E5349","94","83","73","28.57","12.57","32.75","0.0","11.7","22.34","63.14","ColorNerd","ppg"
"18505","Hourglass","1022-1","#E5E0D5","229","224","213","41.25","23.53","86.67","0.0","2.18","6.99","10.2","ColorNerd","ppg"
"18506","Intuitive","1022-2","#CFC6BC","207","198","188","31.58","16.52","77.45","0.0","4.35","9.18","18.82","ColorNerd","ppg"
"18507","Silver Dollar","1022-3","#BDB6AE","189","182","174","32.0","10.2","71.18","0.0","3.7","7.94","25.88","ColorNerd","ppg"
"18508","Rock Slide","1022-4","#A1968C","161","150","140","28.57","10.05","59.02","0.0","6.83","13.04","36.86","ColorNerd","ppg"
"18509","Eiffel Tower","1022-5","#998E83","153","142","131","30.0","9.73","55.69","0.0","7.19","14.38","40.0","ColorNerd","ppg"
"18510","Granite","1022-6","#746A5E","116","106","94","32.73","10.48","41.18","0.0","8.62","18.97","54.51","ColorNerd","ppg"
"18511","Star Anise","1022-7","#5C5042","92","80","66","32.31","16.46","30.98","0.0","13.04","28.26","63.92","ColorNerd","ppg"
"18512","Oatmeal","1023-1","#E7E3D6","231","227","214","45.88","26.15","87.25","0.0","1.73","7.36","9.41","ColorNerd","ppg"
"18513","Cool Concrete","1023-2","#D9D0C1","217","208","193","37.5","24.0","80.39","0.0","4.15","11.06","14.9","ColorNerd","ppg"
"18514","Ashen","1023-3","#C9BFB2","201","191","178","33.91","17.56","74.31","0.0","4.98","11.44","21.18","ColorNerd","ppg"
"18515","Desert Dune","1023-4","#B5AB9C","181","171","156","36.0","14.45","66.08","0.0","5.52","13.81","29.02","ColorNerd","ppg"
"18516","Stone Gray","1023-5","#9F9484","159","148","132","35.56","12.33","57.06","0.0","6.92","16.98","37.65","ColorNerd","ppg"
"18517","Clam Shell","1023-6","#827566","130","117","102","32.14","12.07","45.49","0.0","10.0","21.54","49.02","ColorNerd","ppg"
"18518","Afternoon Tea","1023-7","#594E40","89","78","64","33.6","16.34","30.0","0.0","12.36","28.09","65.1","ColorNerd","ppg"
"18519","Off White","1024-1","#E8E4D6","232","228","214","46.67","28.12","87.45","0.0","1.72","7.76","9.02","ColorNerd","ppg"
"18520","Antique White","1024-2","#E1DACA","225","218","202","41.74","27.71","83.73","0.0","3.11","10.22","11.76","ColorNerd","ppg"
"18521","Crushed Silk","1024-3","#D8CFBE","216","207","190","39.23","25.0","79.61","0.0","4.17","12.04","15.29","ColorNerd","ppg"
"18522","Moth Gray","1024-4","#D1C9BA","209","201","186","39.13","20.0","77.45","0.0","3.83","11.0","18.04","ColorNerd","ppg"
"18523","Stonehenge Greige","1024-5","#A79D8D","167","157","141","36.92","12.87","60.39","0.0","5.99","15.57","34.51","ColorNerd","ppg"
"18524","Patches","1024-6","#8A7D6B","138","125","107","34.84","12.65","48.04","0.0","9.42","22.46","45.88","ColorNerd","ppg"
